	isolate	patient	outbreak
ds01-cfsan	5	4	6
ds02-gatk3	0	0	0
ds03-gatk3	1	4	2
ds04-gatk3	33	24	24
ds05-gatk3	1	4	2
ds06-gatk3	23	26	31
ds07-gatk4	0	0	0
ds08-gatk4	0	0	0
ds09-samtl	0	3	2
ds10-samtl	0	0	0
ds11-smtrm	0	0	0
ds12-pilon	1	3	3
