Multi-allelic sites	dataset1	dataset2	dataset3	dataset4	dataset5	dataset6	dataset7	dataset8	dataset9	dataset10	dataset11	dataset12
Initial	1503	1346	2175	1162	2175	2207	1548	1534	30839	32773	2246	1243
Remove monomorphic	1503	1346	2175	1162	2175	2207	1548	1534	30839	32773	2246	1243
Remove het sites	1503	1346	2175	1162	2175	2207	1205	1164	30839	30320	1853	1243
Remove * sites	1503	1346	1268	1162	1268	1267	1205	1164	30839	30320	1853	1243
Minimize VCF 	1,503	1,346	1,268	1,162	1,268	1,267	1,205	1,164	30,839	30,320 	1,853	1,243
Remove unused ALT alleles	1,503	1,346	1,210	1,161	1,214	1,267	1,205	1,164	998	1,140	1,328	1,243
