Total SNPs	dataset1	dataset2	dataset3	dataset4	dataset5	dataset6	dataset7	dataset8	dataset9	dataset10	dataset11	dataset12
Initial	223,736	228,820	223,268	222,172	223,322	223,110	237,277	224,100	202,854	231,765	239,476	228,137
Remove monomorphic & MNPs & InDels	223,736	228,820	223,268	222,172	223,322	223,110	237,277	224,100	202,854	231,765	239,476	228,121
Remove het sites	223,736	228,820	223,268	222,172	223,322	223,110	224,812	220,197	202,854	216,782	230,151	228,121
Remove * sites	223,736	228,820	222,361	222,172	222,415	222,170	224,812	220,197	202,854	216,782	230,151	228,121
Minimize VCF	223,736	228,820	222,361	222,172	222,415	222,170	224,812	220,197	202,854	216,782	230,151	228,121
Remove unused ALT alleles	223,736	228,820	221,724	222,152	221,790	222,170	224,812	220,197	202,854	216,782	230,151	228,121
