Sample	Clade
CA01	2
CA02	4
CA03	1
CA04	1
CA05	3
CA06	4
CA07	1
CA08	1
CA09	1
CA10	2
CA11	2
CA12	4
CA13	1
CA14	1
CA15	3
CA16	4
CA17	1
CA18	1
CA19	4
CA20	1
CA21	1
CA22	2
CA23	3
CA24	4
CA25	1
CA26	1
CA27	1
CA28	1
CA29	1
CA30	1
CA31	4
CA32	1
CA33	4
CA34	1
CA35	1
