Sample	ds01-cfsan	ds02-gatk3	ds03-gatk3	ds04-gatk3	ds05-gatk3	ds06-gatk3	ds07-gatk4	ds08-gatk4	ds09-samtl	ds10-samtl	ds11-smtrm	ds12-pilon
CA01	0.52	0.23	0.0	0.1	0.0	0.05	0.06	0.01	0.01	0.08	0.44	1.32
CA10	0.42	0.19	0.0	0.13	0.0	0.07	0.08	0.01	0.01	0.06	0.3	1.34
CA11	0.53	0.25	0.0	0.13	0.0	0.04	0.08	0.01	0.01	0.07	0.44	1.37
CA22	0.47	0.28	0.0	0.23	0.0	0.06	0.11	0.01	0.01	0.08	0.5	1.05
