Sample	ds01-cfsan	ds02-gatk3	ds03-gatk3	ds04-gatk3	ds05-gatk3	ds06-gatk3	ds07-gatk4	ds08-gatk4	ds09-samtl	ds10-samtl	ds11-smtrm	ds12-pilon
CA02	0.37	0.19	0.0	0.1	0.0	0.03	0.05	0.01	0.04	0.07	0.25	0.93
CA06	0.36	0.22	0.0	0.13	0.0	0.03	0.04	0.01	0.03	0.07	0.22	0.87
CA12	0.38	0.17	0.0	0.12	0.0	0.03	0.04	0.01	0.03	0.06	0.19	0.87
CA16	0.34	0.2	0.0	0.15	0.0	0.04	0.06	0.01	0.04	0.08	0.26	0.81
CA19	0.37	0.18	0.0	0.12	0.0	0.03	0.04	0.01	0.03	0.04	0.21	0.87
CA24	0.36	0.19	0.0	0.14	0.0	0.05	0.06	0.01	0.03	0.05	0.26	0.86
CA31	0.37	0.15	0.0	0.1	0.0	0.04	0.03	0.01	0.04	0.04	0.2	0.93
CA33	0.37	0.14	0.0	0.09	0.0	0.07	0.04	0.01	0.04	0.04	0.18	1.0
